Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=20, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='16_0.001_ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 96], Speed: 22.874 samples/sec, CrossEntropy=2.671, SmoothL1=1.245
[Epoch 0][Batch 97], Speed: 22.824 samples/sec, CrossEntropy=2.665, SmoothL1=1.239
[Epoch 0][Batch 98], Speed: 23.218 samples/sec, CrossEntropy=2.660, SmoothL1=1.238
[Epoch 0][Batch 99], Speed: 17.550 samples/sec, CrossEntropy=2.659, SmoothL1=1.241
[Epoch 0][Batch 100], Speed: 20.727 samples/sec, CrossEntropy=2.651, SmoothL1=1.233
[Epoch 0][Batch 101], Speed: 23.037 samples/sec, CrossEntropy=2.646, SmoothL1=1.230
[Epoch 0][Batch 102], Speed: 10.109 samples/sec, CrossEntropy=2.640, SmoothL1=1.227
[Epoch 0][Batch 103], Speed: 24.925 samples/sec, CrossEntropy=2.638, SmoothL1=1.231
[Epoch 0][Batch 104], Speed: 21.177 samples/sec, CrossEntropy=2.633, SmoothL1=1.228
[Epoch 0][Batch 105], Speed: 22.513 samples/sec, CrossEntropy=2.629, SmoothL1=1.226
[Epoch 0][Batch 106], Speed: 22.511 samples/sec, CrossEntropy=2.624, SmoothL1=1.223
[Epoch 0][Batch 107], Speed: 21.708 samples/sec, CrossEntropy=2.619, SmoothL1=1.221
[Epoch 0][Batch 108], Speed: 21.720 samples/sec, CrossEntropy=2.615, SmoothL1=1.218
[Epoch 0][Batch 109], Speed: 11.094 samples/sec, CrossEntropy=2.610, SmoothL1=1.214
[Epoch 0][Batch 110], Speed: 21.020 samples/sec, CrossEntropy=2.604, SmoothL1=1.210
[Epoch 0][Batch 111], Speed: 24.938 samples/sec, CrossEntropy=2.600, SmoothL1=1.208
[Epoch 0][Batch 112], Speed: 20.758 samples/sec, CrossEntropy=2.596, SmoothL1=1.207
[Epoch 0][Batch 113], Speed: 22.026 samples/sec, CrossEntropy=2.592, SmoothL1=1.205
[Epoch 0][Batch 114], Speed: 23.968 samples/sec, CrossEntropy=2.589, SmoothL1=1.203
[Epoch 0][Batch 115], Speed: 15.415 samples/sec, CrossEntropy=2.587, SmoothL1=1.205
[Epoch 0][Batch 116], Speed: 21.366 samples/sec, CrossEntropy=2.584, SmoothL1=1.202
[Epoch 0][Batch 117], Speed: 22.895 samples/sec, CrossEntropy=2.579, SmoothL1=1.201
[Epoch 0][Batch 118], Speed: 15.558 samples/sec, CrossEntropy=2.576, SmoothL1=1.200
[Epoch 0][Batch 119], Speed: 20.626 samples/sec, CrossEntropy=2.571, SmoothL1=1.198
[Epoch 0][Batch 120], Speed: 22.896 samples/sec, CrossEntropy=2.568, SmoothL1=1.198
[Epoch 0][Batch 121], Speed: 22.605 samples/sec, CrossEntropy=2.565, SmoothL1=1.194
[Epoch 0][Batch 122], Speed: 22.184 samples/sec, CrossEntropy=2.560, SmoothL1=1.191
[Epoch 0][Batch 123], Speed: 23.149 samples/sec, CrossEntropy=2.556, SmoothL1=1.188
[Epoch 0][Batch 124], Speed: 15.592 samples/sec, CrossEntropy=2.551, SmoothL1=1.187
[Epoch 0][Batch 125], Speed: 24.671 samples/sec, CrossEntropy=2.549, SmoothL1=1.186
[Epoch 0][Batch 126], Speed: 22.994 samples/sec, CrossEntropy=2.545, SmoothL1=1.181
[Epoch 0][Batch 127], Speed: 31.041 samples/sec, CrossEntropy=2.542, SmoothL1=1.182
[Epoch 0][Batch 128], Speed: 31.871 samples/sec, CrossEntropy=2.538, SmoothL1=1.182
[Epoch 0][Batch 129], Speed: 35.324 samples/sec, CrossEntropy=2.534, SmoothL1=1.180
[Epoch 0][Batch 130], Speed: 25.285 samples/sec, CrossEntropy=2.531, SmoothL1=1.178
[Epoch 0] Training cost: 112.452, CrossEntropy=2.531, SmoothL1=1.178
[Epoch 0] Validation: 
smoke=0.7920766925112938
mAP=0.7920766925112938
[Epoch 1][Batch 0], Speed: 6.453 samples/sec, CrossEntropy=1.951, SmoothL1=0.990
[Epoch 1][Batch 1], Speed: 20.615 samples/sec, CrossEntropy=2.151, SmoothL1=1.072
[Epoch 1][Batch 2], Speed: 21.550 samples/sec, CrossEntropy=2.168, SmoothL1=1.115
[Epoch 1][Batch 3], Speed: 20.565 samples/sec, CrossEntropy=2.143, SmoothL1=1.016
[Epoch 1][Batch 4], Speed: 20.269 samples/sec, CrossEntropy=2.103, SmoothL1=0.998
[Epoch 1][Batch 5], Speed: 20.536 samples/sec, CrossEntropy=2.089, SmoothL1=1.011
[Epoch 1][Batch 6], Speed: 11.932 samples/sec, CrossEntropy=2.095, SmoothL1=1.013
[Epoch 1][Batch 7], Speed: 22.973 samples/sec, CrossEntropy=2.073, SmoothL1=0.970
[Epoch 1][Batch 8], Speed: 20.282 samples/sec, CrossEntropy=2.088, SmoothL1=0.989
[Epoch 1][Batch 9], Speed: 20.263 samples/sec, CrossEntropy=2.100, SmoothL1=1.001
[Epoch 1][Batch 10], Speed: 20.018 samples/sec, CrossEntropy=2.101, SmoothL1=1.019
[Epoch 1][Batch 11], Speed: 20.401 samples/sec, CrossEntropy=2.108, SmoothL1=1.025
[Epoch 1][Batch 12], Speed: 21.778 samples/sec, CrossEntropy=2.130, SmoothL1=1.038
[Epoch 1][Batch 13], Speed: 20.120 samples/sec, CrossEntropy=2.132, SmoothL1=1.015
[Epoch 1][Batch 14], Speed: 22.335 samples/sec, CrossEntropy=2.108, SmoothL1=0.990
[Epoch 1][Batch 15], Speed: 21.843 samples/sec, CrossEntropy=2.096, SmoothL1=0.979
[Epoch 1][Batch 16], Speed: 20.850 samples/sec, CrossEntropy=2.082, SmoothL1=0.958
[Epoch 1][Batch 17], Speed: 21.225 samples/sec, CrossEntropy=2.069, SmoothL1=0.950
[Epoch 1][Batch 18], Speed: 21.502 samples/sec, CrossEntropy=2.072, SmoothL1=0.948
[Epoch 1][Batch 19], Speed: 21.812 samples/sec, CrossEntropy=2.065, SmoothL1=0.946
[Epoch 1][Batch 20], Speed: 14.446 samples/sec, CrossEntropy=2.067, SmoothL1=0.944
[Epoch 1][Batch 21], Speed: 21.163 samples/sec, CrossEntropy=2.071, SmoothL1=0.958
[Epoch 1][Batch 22], Speed: 22.247 samples/sec, CrossEntropy=2.073, SmoothL1=0.951
